Num. articolo,<FONT size=3.5>Quantità,<FONT size=3.5>Num. parte,Descrizione
1,2,Nozzle,
2,1,Compact Bowden Head,
3,1,Compact Bowden Head II,
4,2,igus_wfm-0810-30,
5,2,PEEK body,
6,2,Metalwork 2L01007,Pneumatic fit 1/8 4mm
7,1,FAN-DUCT,
8,2,PTFE tube 6-2,PTFE 6mm/2mm, length 70mm 
9,4,hex grub screw,M3x10
10,1,M3x25,M3x25
11,4,M3 plain washer,M3 washer
12,1,DIN EN ISO 7040 - M3 - N,M3 Nylon nut
13,1,FAN40x20,
14,6,Socket head cap screw,M3x30
15,4,M3 nut,
